Code,Subdivision name (en)(Indian System of Transliteration)
IN-AN,Andaman and Nicobar Islands
IN-AP,Andhra Pradesh
IN-AR,Arunāchal Pradesh
IN-AS,Assam
IN-BR,Bihār
IN-CH,Chandīgarh
IN-CG,Chhattīsgarh
IN-DH,Dādra and Nagar Haveli and Damān and Diu[2]
IN-DL,Delhi
IN-GA,Goa
IN-GJ,Gujarāt
IN-HR,Haryāna
IN-HP,Himāchal Pradesh
IN-JK,Jammu and Kashmīr
IN-JH,Jhārkhand
IN-KA,Karnātaka
IN-KL,Kerala
IN-LA,Ladākh
IN-LD,Lakshadweep
IN-MP,Madhya Pradesh
IN-MH,Mahārāshtra
IN-MN,Manipur
IN-ML,Meghālaya
IN-MZ,Mizoram
IN-NL,Nāgāland
IN-OD,Odisha
IN-PY,Puducherry (Local variant: Pondicherry)
IN-PB,Punjab
IN-RJ,Rājasthān
IN-SK,Sikkim
IN-TN,Tamil Nādu
IN-TS,Telangāna[3]
IN-TR,Tripura
IN-UP,Uttar Pradesh
IN-UK,Uttarākhand
IN-WB,West Bengal
