State/union territory,GSDP (₹ millions),GSDP (US$ billions)
Maharashtra,"31,080,218.7",417.2
Tamil Nadu,"20,712,861.6",278.0
Gujarat,"19,770,664.6",265.4
Uttar Pradesh,"19,745,315.5",265.1
Karnataka,"19,627,254.2",263.5
West Bengal,"13,639,258.6",183.1
Rajasthan,"12,181,934.5",163.5
Madhya Pradesh,"11,361,371.9",152.5
Andhra Pradesh,"11,338,365.0",152.2
Telangana,"11,289,072.4",151.5
Kerala,"9,324,699.6",125.2
Delhi,"9,046,420.4",121.4
Haryana,"8,706,645.3",116.9
Odisha,"6,708,812.3",90.1
Bihar,"6,503,024.3",87.3
Punjab,"6,142,267.6",82.4
Assam,"4,126,118.7",55.4
Chhattisgarh,"4,064,158.2",54.6
Jharkhand,"3,588,625.9",48.1
Uttarakhand,"2,721,594.8",36.5
Jammu and Kashmir,"1,999,174.2",26.8
Himachal Pradesh,"1,762,694.7",23.7
Goa,"826,037.0",11.1
Tripura,"625,504.4",8.4
Chandigarh,"456,352.6",6.1
Puducherry,"442,378.6",5.9
Meghalaya,"387,847.0",5.2
Sikkim,"375,574.0",5.0
Manipur,"365,944.7",4.9
Arunachal Pradesh,"351,235.4",4.7
Nagaland,"319,125.4",4.3
Mizoram,"278,235.0",3.7
Andaman and Nicobar Islands,"103,705.2",1.5
